"time","current"
0,0.95175
0.5,0.95509
1,0.95351
1.5,0.95593
2,0.95766
2.5,0.95937
3,0.96123
3.5,0.96051
4,0.96126
4.5,0.96313
5,0.96553
5.5,0.96762
6,0.96814
6.5,0.96887
7,0.96974
7.5,0.97122
8,0.97364
8.5,0.97346
9,0.97473
9.5,0.97405
10,0.97569
10.5,0.97809
11,0.97772
11.5,0.97885
12,0.97925
12.5,0.97926
13,0.97999
13.5,0.98204
14,0.98336
14.5,0.98292
15,0.98456
15.5,0.98402
16,0.98473
16.5,0.98731
17,0.98644
17.5,0.98769
18,0.98684
18.5,0.98878
19,0.98667
19.5,0.98711
20,0.98921
20.5,0.98941
21,0.98849
21.5,0.98969
22,0.99148
22.5,0.98948
23,0.99052
23.5,0.99233
24,0.99188
24.5,0.99292
25,0.99295
25.5,0.99411
26,0.99299
26.5,0.99541
27,0.99363
27.5,0.99451
28,0.99633
28.5,0.99415
29,0.99595
29.5,0.99581
30,0.99654
30.5,0.99733
31,0.99569
31.5,0.99668
32,0.99722
32.5,0.99695
33,0.9974
33.5,0.99718
34,0.99852
34.5,0.99885
35,0.99876
35.5,0.99993
36,0.99873
36.5,0.99921
37,0.99947
37.5,0.99967
38,0.99919
38.5,1.0013
39,0.99967
39.5,1.0029
40,1.0002
40.5,1.0013
41,1.0012
41.5,0.99866
42,1.0009
42.5,0.99992
43,1.0046
43.5,1.0033
44,1.0016
44.5,1.0033
45,1.0004
45.5,1.0035
46,1.0009
46.5,1.0039
47,1.0049
47.5,1.0031
48,1.0042
48.5,1.0039
49,1.0037
49.5,1.0058
50,1.0066
50.5,1.0059
51,1.0055
51.5,1.0044
52,1.0062
52.5,1.0063
53,1.0074
53.5,1.0084
54,1.0083
54.5,1.0095
55,1.0096
55.5,1.0107
56,1.0111
56.5,1.0098
57,1.0101
57.5,1.0092
58,1.0115
58.5,1.0096
59,1.0111
59.5,1.013
60,1.0102
60.5,1.0111
61,1.0122
61.5,1.0116
62,1.0112
62.5,1.0101
63,1.0098
63.5,1.0136
64,1.0114
64.5,1.0118
65,1.0116
65.5,1.0124
66,1.011
66.5,1.0116
67,1.012
67.5,1.0136
68,1.0117
68.5,1.0109
69,1.0111
69.5,1.0103
70,1.0125
70.5,1.0159
71,1.0134
71.5,1.0124
72,1.0144
72.5,1.0155
73,1.0136
73.5,1.0137
74,1.0142
74.5,1.0156
75,1.0156
75.5,1.0147
76,1.0141
76.5,1.0172
77,1.0175
77.5,1.0183
78,1.0175
78.5,1.0186
79,1.0189
79.5,1.0178
80,1.0173
80.5,1.0163
81,1.0195
81.5,1.0169
82,1.019
82.5,1.0177
83,1.0186
83.5,1.0195
84,1.0167
84.5,1.0186
85,1.0161
85.5,1.0196
86,1.0189
86.5,1.0206
87,1.0194
87.5,1.0183
88,1.0198
88.5,1.0178
89,1.0183
89.5,1.0188
90,1.0196
90.5,1.0211
91,1.0213
91.5,1.0218
92,1.021
92.5,1.0224
93,1.0207
93.5,1.0216
94,1.0238
94.5,1.0228
95,1.0212
95.5,1.0241
96,1.0225
96.5,1.0242
97,1.0229
97.5,1.0202
98,1.0214
98.5,1.0205
99,1.0222
99.5,1.025
100,1.0244
100.5,1.0245
101,1.0211
101.5,1.0227
102,1.0223
102.5,1.0256
103,1.0226
103.5,1.0237
104,1.0222
104.5,1.0227
105,1.0238
105.5,1.0237
106,1.0235
106.5,1.0244
107,1.0251
107.5,1.0232
108,1.0263
108.5,1.0252
109,1.0254
109.5,1.0245
110,1.0253
110.5,1.0245
111,1.0235
111.5,1.0217
112,1.0239
112.5,1.0226
113,1.0247
113.5,1.0238
114,1.0234
114.5,1.023
115,1.0228
115.5,1.0246
116,1.0244
116.5,1.0255
117,1.0246
117.5,1.0236
118,1.0264
118.5,1.024
119,1.0252
119.5,1.0251
120,1.0237
120.5,1.0272
121,1.0272
121.5,1.0263
122,1.0277
122.5,1.0259
123,1.0262
123.5,1.0252
124,1.0252
124.5,1.0272
125,1.0282
125.5,1.0269
126,1.0275
126.5,1.0288
127,1.0294
127.5,1.0281
128,1.0298
128.5,1.0309
129,1.0313
129.5,1.029
130,1.0292
130.5,1.0303
131,1.0309
131.5,1.0322
132,1.0317
132.5,1.034
133,1.034
133.5,1.032
134,1.0318
134.5,1.0318
135,1.03
135.5,1.033
136,1.0329
136.5,1.0352
137,1.0321
137.5,1.0376
138,1.0345
138.5,1.0365
139,1.0377
139.5,1.0384
140,1.0353
140.5,1.0348
141,1.0355
141.5,1.0361
142,1.0395
142.5,1.0352
143,1.036
143.5,1.0361
144,1.0362
144.5,1.0352
145,1.0384
145.5,1.0363
146,1.0346
146.5,1.0337
147,1.0375
147.5,1.0363
148,1.0355
148.5,1.038
149,1.0346
149.5,1.0345
150,1.0377
150.5,1.0365
151,1.0361
151.5,1.0361
152,1.0388
152.5,1.0349
153,1.0352
153.5,1.0367
154,1.0349
154.5,1.0384
155,1.0368
155.5,1.0365
156,1.0379
156.5,1.0375
157,1.0383
157.5,1.0381
158,1.0385
158.5,1.0384
159,1.0349
159.5,1.0396
160,1.0378
160.5,1.0377
161,1.0382
161.5,1.0391
162,1.0368
162.5,1.0399
163,1.0385
163.5,1.0391
