"time","current"
0,0.93822
0.5,0.93724
1,0.94269
1.5,0.94057
2,0.94333
2.5,0.94912
3,0.94763
3.5,0.94806
4,0.94935
4.5,0.95026
5,0.95269
5.5,0.95497
6,0.95588
6.5,0.95706
7,0.95862
7.5,0.95934
8,0.96146
8.5,0.96222
9,0.96364
9.5,0.966
10,0.96834
10.5,0.96425
11,0.96961
11.5,0.96974
12,0.96829
12.5,0.97123
13,0.97005
13.5,0.96761
14,0.97187
14.5,0.97306
15,0.9744
15.5,0.97418
16,0.97423
16.5,0.9799
17,0.97733
17.5,0.97993
18,0.97871
18.5,0.9787
19,0.98005
19.5,0.98366
20,0.97981
20.5,0.98049
21,0.97953
21.5,0.98251
22,0.98328
22.5,0.98378
23,0.98272
23.5,0.98067
24,0.98197
24.5,0.98606
25,0.97991
25.5,0.984
26,0.98454
26.5,0.98348
27,0.98331
27.5,0.9876
28,0.98679
28.5,0.98677
29,0.9904
29.5,0.98678
30,0.99014
30.5,0.98774
31,0.99129
31.5,0.9923
32,0.99282
32.5,0.9954
33,0.99769
33.5,0.99404
34,0.99662
34.5,0.9991
35,0.99896
35.5,0.99821
36,0.99474
36.5,0.99932
37,0.99385
37.5,0.99389
38,0.99959
38.5,0.99885
39,1.0012
39.5,1.0034
40,0.99924
40.5,1.0035
41,1.0051
41.5,1.0066
42,1.0059
42.5,1.0037
43,1.0058
43.5,1.0004
44,1.0016
44.5,1.0057
45,1.0067
45.5,1.0044
46,1.0034
46.5,1.0086
47,1.0085
47.5,1.0142
48,1.0072
48.5,1.0136
49,1.0101
49.5,1.0161
50,1.013
50.5,1.0106
51,1.0119
51.5,1.0119
52,1.016
52.5,1.0182
53,1.016
53.5,1.0152
54,1.0193
54.5,1.0188
55,1.0183
55.5,1.0194
56,1.016
56.5,1.0193
57,1.0175
57.5,1.0199
58,1.0174
58.5,1.0196
59,1.0192
59.5,1.0161
60,1.0199
60.5,1.0216
61,1.0198
61.5,1.0206
62,1.0156
62.5,1.0209
63,1.0199
63.5,1.0207
64,1.0228
64.5,1.0179
65,1.0197
65.5,1.0207
66,1.0205
66.5,1.023
67,1.0225
67.5,1.0281
68,1.0231
68.5,1.0227
69,1.0237
69.5,1.0216
70,1.0243
70.5,1.0231
71,1.0263
71.5,1.0199
72,1.0257
72.5,1.0261
73,1.0314
73.5,1.029
74,1.0313
74.5,1.0321
75,1.0268
75.5,1.0284
76,1.0329
76.5,1.0282
77,1.0322
77.5,1.0295
78,1.0293
78.5,1.0267
79,1.0266
79.5,1.0291
80,1.0289
80.5,1.0261
81,1.0276
81.5,1.03
82,1.0259
82.5,1.0324
83,1.0291
83.5,1.031
84,1.0322
84.5,1.03
85,1.0278
85.5,1.0343
86,1.0375
86.5,1.0375
87,1.0391
87.5,1.033
88,1.0339
88.5,1.0365
89,1.0391
89.5,1.0362
90,1.0371
90.5,1.039
91,1.0432
91.5,1.0439
92,1.0443
92.5,1.0405
93,1.0451
93.5,1.0435
94,1.0466
94.5,1.0487
95,1.0489
95.5,1.0497
96,1.0518
96.5,1.0507
97,1.0535
97.5,1.0521
98,1.0632
98.5,1.0534
99,1.0634
99.5,1.0585
100,1.051
100.5,1.0545
101,1.0609
101.5,1.0609
102,1.0592
102.5,1.0556
103,1.0575
103.5,1.0603
104,1.0654
104.5,1.0595
105,1.0637
105.5,1.0639
106,1.0653
106.5,1.0626
107,1.0663
107.5,1.0672
108,1.063
108.5,1.063
109,1.0626
109.5,1.0605
110,1.0616
110.5,1.0587
111,1.0589
111.5,1.0663
112,1.0642
112.5,1.0662
113,1.0653
113.5,1.0703
114,1.0703
114.5,1.0654
115,1.0689
115.5,1.0647
116,1.063
116.5,1.0651
117,1.0686
117.5,1.0721
118,1.0661
118.5,1.0709
119,1.0705
119.5,1.0694
120,1.0731
120.5,1.0631
121,1.0611
121.5,1.0734
122,1.0685
122.5,1.0646
123,1.0735
123.5,1.0731
124,1.0747
124.5,1.0765
125,1.0749
125.5,1.0724
126,1.0698
126.5,1.0728
127,1.0744
127.5,1.0672
128,1.0698
128.5,1.066
129,1.071
129.5,1.0777
130,1.0717
130.5,1.0763
131,1.0693
131.5,1.0698
132,1.0659
132.5,1.0699
133,1.0683
133.5,1.0713
134,1.0761
134.5,1.0755
135,1.0746
135.5,1.0718
136,1.0768
136.5,1.0802
137,1.0801
137.5,1.0817
138,1.08
138.5,1.0774
139,1.0763
139.5,1.0773
140,1.0712
140.5,1.074
141,1.0786
141.5,1.0796
142,1.0797
142.5,1.0786
143,1.0813
143.5,1.083
144,1.0863
144.5,1.0829
145,1.0731
145.5,1.0829
146,1.0868
146.5,1.0849
147,1.0872
147.5,1.0938
148,1.0889
148.5,1.0908
149,1.0883
149.5,1.0871
150,1.0843
150.5,1.0921
151,1.0886
151.5,1.0911
152,1.0783
152.5,1.0914
