"time","current"
0,0.93551
0.5,0.93545
1,0.93138
1.5,0.9359
2,0.93813
2.5,0.93441
3,0.9344
3.5,0.93603
4,0.94005
4.5,0.94435
5,0.94683
5.5,0.94744
6,0.95043
6.5,0.95176
7,0.95187
7.5,0.95153
8,0.95453
8.5,0.95704
9,0.95801
9.5,0.96007
10,0.96032
10.5,0.96363
11,0.9625
11.5,0.96359
12,0.96506
12.5,0.96642
13,0.96632
13.5,0.96341
14,0.97059
14.5,0.97006
15,0.9706
15.5,0.9707
16,0.97272
16.5,0.97666
17,0.97718
17.5,0.97844
18,0.97909
18.5,0.97724
19,0.98019
19.5,0.97959
20,0.97556
20.5,0.9806
21,0.98153
21.5,0.98288
22,0.98041
22.5,0.98458
23,0.9845
23.5,0.98793
24,0.98493
24.5,0.98537
25,0.98808
25.5,0.99039
26,0.98997
26.5,0.99202
27,0.99039
27.5,0.99266
28,0.98969
28.5,0.98743
29,0.98947
29.5,0.99434
30,0.99221
30.5,0.9946
31,0.99603
31.5,0.99614
32,0.99487
32.5,0.99334
33,0.99611
33.5,0.99544
34,0.99298
34.5,0.99755
35,0.99739
35.5,0.9998
36,0.99964
36.5,0.99485
37,0.99817
37.5,0.9971
38,0.99774
38.5,0.99881
39,1
39.5,0.9958
40,1.0001
40.5,0.99602
41,1.0001
41.5,1.001
42,1.0028
42.5,1.0035
43,1.0065
43.5,1.0038
44,1.0035
44.5,1.0082
45,1.0055
45.5,1.0025
46,1.0017
46.5,1.0052
47,1.0017
47.5,1.0083
48,1.0093
48.5,1.0094
49,1.0116
49.5,1.0091
50,1.0096
50.5,1.0128
51,1.0071
51.5,1.0096
52,1.01
52.5,1.0089
53,1.0103
53.5,1.0123
54,1.0099
54.5,1.0122
55,1.0097
55.5,1.0106
56,1.0107
56.5,1.0101
57,1.0093
57.5,1.006
58,1.0096
58.5,1.0123
59,1.008
59.5,1.0078
60,1.0117
60.5,1.0097
61,1.0089
61.5,1.0144
62,1.014
62.5,1.0107
63,1.0104
63.5,1.0115
64,1.0064
64.5,1.0139
65,1.0089
65.5,1.0108
66,1.0167
66.5,1.0114
67,1.0117
67.5,1.0107
68,1.0117
68.5,1.0164
69,1.0119
69.5,1.0151
70,1.0151
70.5,1.0218
71,1.0224
71.5,1.0217
72,1.0162
72.5,1.024
73,1.0188
73.5,1.0188
74,1.0146
74.5,1.014
75,1.0127
75.5,1.0206
76,1.0185
76.5,1.0259
77,1.0273
77.5,1.0207
78,1.0226
78.5,1.0225
79,1.0206
79.5,1.0203
80,1.0208
80.5,1.0222
81,1.024
81.5,1.0282
82,1.0294
82.5,1.0233
83,1.0305
83.5,1.027
84,1.0288
84.5,1.0267
85,1.0259
85.5,1.0272
86,1.0294
86.5,1.0251
87,1.0263
87.5,1.0316
88,1.026
88.5,1.0277
89,1.0307
89.5,1.0271
90,1.0267
90.5,1.0302
91,1.0327
91.5,1.0325
92,1.0309
92.5,1.0346
93,1.0331
93.5,1.0369
94,1.0375
94.5,1.0352
95,1.037
95.5,1.0375
96,1.0401
96.5,1.0384
97,1.0395
97.5,1.0353
98,1.0345
98.5,1.0355
99,1.0384
99.5,1.0323
100,1.0321
100.5,1.0276
101,1.0375
101.5,1.0301
102,1.0338
102.5,1.0347
103,1.0335
103.5,1.0338
104,1.0398
104.5,1.0346
105,1.0351
105.5,1.0331
106,1.0338
106.5,1.0318
107,1.0313
107.5,1.0331
108,1.0376
108.5,1.0336
109,1.0294
109.5,1.0343
110,1.0355
110.5,1.0339
111,1.0358
111.5,1.0373
112,1.0374
112.5,1.0382
113,1.0306
113.5,1.0363
114,1.039
114.5,1.0332
115,1.038
115.5,1.0357
116,1.0374
116.5,1.0319
117,1.0376
117.5,1.0428
118,1.0356
118.5,1.0415
119,1.0379
119.5,1.0406
120,1.0445
120.5,1.045
121,1.0465
121.5,1.0399
122,1.0392
122.5,1.0426
123,1.0383
123.5,1.0435
124,1.0434
124.5,1.0361
125,1.0411
125.5,1.0485
126,1.0425
126.5,1.0453
127,1.0478
127.5,1.0489
128,1.0407
128.5,1.0456
129,1.0448
129.5,1.0401
130,1.037
130.5,1.0393
131,1.0363
131.5,1.0373
132,1.0412
132.5,1.0434
133,1.0406
133.5,1.047
134,1.0415
134.5,1.0435
135,1.0414
135.5,1.0455
136,1.0446
136.5,1.0413
137,1.0438
137.5,1.0411
138,1.0478
138.5,1.0433
139,1.0479
139.5,1.0457
140,1.0465
140.5,1.0469
141,1.0471
141.5,1.048
142,1.0473
142.5,1.0457
143,1.0446
143.5,1.0439
144,1.0495
144.5,1.0441
145,1.0518
145.5,1.0547
146,1.0542
146.5,1.0567
147,1.0533
147.5,1.0546
148,1.0505
148.5,1.0537
149,1.0519
149.5,1.0528
150,1.049
150.5,1.0515
151,1.0502
151.5,1.0455
152,1.0523
152.5,1.0537
153,1.0519
153.5,1.0543
154,1.0549
154.5,1.0482
155,1.0491
155.5,1.0496
156,1.0506
156.5,1.046
157,1.0514
157.5,1.0508
158,1.0502
158.5,1.0527
159,1.0546
159.5,1.052
160,1.0566
160.5,1.0501
161,1.0497
161.5,1.0493
162,1.0491
162.5,1.0514
163,1.0492
163.5,1.0546
164,1.0475
164.5,1.0549
165,1.0582
165.5,1.0509
166,1.0506
166.5,1.0505
167,1.0579
167.5,1.0541
168,1.0552
168.5,1.059
169,1.0568
169.5,1.0503
170,1.0543
170.5,1.0557
171,1.0547
171.5,1.05
172,1.047
172.5,1.0545
173,1.0564
173.5,1.0491
174,1.0517
174.5,1.057
175,1.0568
175.5,1.051
176,1.051
176.5,1.0634
177,1.0634
177.5,1.0508
178,1.0542
178.5,1.0587
179,1.0533
179.5,1.0594
180,1.058
180.5,1.0596
181,1.0643
181.5,1.0628
182,1.0611
182.5,1.0563
183,1.0632
183.5,1.0588
184,1.0597
184.5,1.0594
185,1.0536
185.5,1.0536
186,1.0574
186.5,1.0573
187,1.0638
187.5,1.0618
188,1.0586
188.5,1.0646
189,1.0607
398,0.91418
398.5,0.91562
399,0.92248
399.5,0.9215
400,0.9248
400.5,0.93042
401,0.92921
401.5,0.92823
402,0.93312
402.5,0.93202
403,0.93657
403.5,0.93336
404,0.93905
404.5,0.9348
405,0.94184
405.5,0.94197
406,0.94126
406.5,0.94733
407,0.94514
407.5,0.94911
408,0.94931
408.5,0.9529
409,0.95208
409.5,0.95417
410,0.95424
410.5,0.95532
411,0.95808
411.5,0.95819
412,0.95564
412.5,0.95625
413,0.96012
413.5,0.96066
414,0.95975
414.5,0.96211
415,0.95953
415.5,0.96101
416,0.96141
416.5,0.96785
417,0.96539
417.5,0.96992
418,0.96445
418.5,0.96673
419,0.97084
419.5,0.96942
420,0.97215
420.5,0.96874
421,0.97344
421.5,0.97152
422,0.97165
422.5,0.97375
423,0.97614
423.5,0.97829
424,0.97993
424.5,0.9808
425,0.97793
425.5,0.98193
426,0.98167
426.5,0.97718
427,0.9777
427.5,0.98236
428,0.98306
428.5,0.98499
429,0.98214
429.5,0.98736
430,0.98627
430.5,0.98625
431,0.98779
431.5,0.98863
432,0.9898
432.5,0.99367
433,0.99473
433.5,0.9918
434,0.99192
434.5,0.9916
435,0.99478
435.5,0.99244
436,0.99534
436.5,0.99618
437,0.99123
437.5,0.99498
438,0.9954
438.5,0.99051
439,0.99349
439.5,0.9939
440,0.99638
440.5,0.99604
441,0.99722
441.5,0.99853
442,0.99479
442.5,0.99966
443,0.99985
443.5,0.99926
444,0.99713
444.5,0.99871
445,0.99783
445.5,0.99942
446,0.995
446.5,0.99572
447,0.99748
447.5,0.99416
448,0.99595
448.5,0.99573
449,0.99489
449.5,0.99548
450,0.99091
450.5,0.99529
451,0.99725
451.5,0.99855
452,0.9958
452.5,0.99414
453,0.99636
453.5,0.99567
454,0.99606
454.5,0.99722
455,1.0017
455.5,0.99797
456,0.9993
456.5,0.9991
457,1.0039
457.5,0.99959
458,1.0078
458.5,1.0009
459,1.0018
459.5,1.0044
460,1.0034
460.5,1.001
461,1.0006
461.5,0.99868
462,1.0001
462.5,1.0065
463,1.0038
463.5,1.0022
464,1.0047
464.5,1.0034
465,1.0003
465.5,1.0068
466,0.99792
466.5,1.0025
467,1.0015
467.5,1.0074
468,1.0073
468.5,1.0046
469,1.0031
469.5,1.0041
470,1.0078
470.5,1.0098
471,1.0083
471.5,1.0123
472,1.0101
472.5,1.0095
473,1.0076
473.5,1.0113
474,1.0118
474.5,1.0096
475,1.0112
475.5,1.0125
476,1.0107
476.5,1.0103
477,1.0165
477.5,1.0119
478,1.0101
478.5,1.0133
479,1.0101
479.5,1.0111
480,1.0107
480.5,1.0095
481,1.014
481.5,1.0103
482,1.009
482.5,1.0048
483,1.0111
483.5,1.0109
484,1.0136
