"time","current"
0,0.61389
0.5,0.61532
1,0.61777
1.5,0.62483
2,0.62296
2.5,0.6275
3,0.62848
3.5,0.63067
4,0.6328
4.5,0.63351
5,0.63659
5.5,0.63839
6,0.63635
6.5,0.63767
7,0.64392
7.5,0.63957
8,0.64711
8.5,0.64411
9,0.64906
9.5,0.64787
10,0.65014
10.5,0.6522
11,0.64942
11.5,0.65118
12,0.64999
12.5,0.65009
13,0.65373
13.5,0.65309
14,0.6544
14.5,0.65315
15,0.65413
15.5,0.6568
16,0.66111
16.5,0.65808
17,0.65846
17.5,0.65822
18,0.65821
18.5,0.66232
19,0.65984
19.5,0.6541
20,0.66141
20.5,0.65908
21,0.66199
21.5,0.66381
22,0.65903
22.5,0.66182
23,0.6641
23.5,0.66425
24,0.66595
24.5,0.66558
25,0.66364
25.5,0.66547
26,0.6651
26.5,0.66472
27,0.6683
27.5,0.66878
28,0.66735
28.5,0.67223
29,0.67051
29.5,0.67195
30,0.67285
30.5,0.67195
31,0.67104
31.5,0.67357
32,0.67197
32.5,0.67428
33,0.66986
33.5,0.67641
34,0.67334
34.5,0.67326
35,0.67638
35.5,0.67547
36,0.67544
36.5,0.6793
37,0.67827
37.5,0.6786
38,0.67929
38.5,0.67838
39,0.67998
39.5,0.68116
40,0.67875
40.5,0.68213
41,0.68091
41.5,0.68155
42,0.68029
42.5,0.68243
43,0.68178
43.5,0.68228
44,0.68604
44.5,0.68322
45,0.68257
45.5,0.68718
46,0.68591
46.5,0.68974
47,0.68849
47.5,0.68501
48,0.68609
48.5,0.68591
49,0.68722
49.5,0.6845
50,0.68456
50.5,0.68575
51,0.68608
51.5,0.6891
52,0.68864
52.5,0.69456
53,0.68927
53.5,0.6935
54,0.6909
54.5,0.69224
55,0.68807
55.5,0.69107
56,0.69563
56.5,0.69209
57,0.69373
57.5,0.69487
58,0.69198
58.5,0.69529
59,0.69297
59.5,0.69626
60,0.69532
60.5,0.69476
61,0.69484
61.5,0.69425
62,0.69824
62.5,0.69449
63,0.69568
63.5,0.69607
64,0.70154
64.5,0.70069
65,0.69839
65.5,0.69843
66,0.69866
66.5,0.70104
67,0.70067
67.5,0.69824
68,0.69819
68.5,0.70303
69,0.7005
69.5,0.69951
70,0.69621
70.5,0.7019
71,0.70096
71.5,0.70095
72,0.69669
72.5,0.70054
73,0.70034
73.5,0.70069
74,0.70337
74.5,0.70458
75,0.70692
75.5,0.70769
76,0.70681
76.5,0.70365
77,0.70565
77.5,0.70582
78,0.70617
78.5,0.70756
79,0.70749
79.5,0.70516
80,0.70143
80.5,0.70314
81,0.70475
81.5,0.70267
82,0.70187
82.5,0.70155
83,0.70272
83.5,0.70279
84,0.70707
84.5,0.70239
85,0.7062
85.5,0.70883
86,0.70567
86.5,0.70092
87,0.70917
87.5,0.70486
88,0.70691
88.5,0.70584
89,0.70813
89.5,0.70901
90,0.70372
90.5,0.706
91,0.71119
91.5,0.7074
92,0.70388
92.5,0.70406
93,0.70799
93.5,0.71015
94,0.70638
94.5,0.71242
95,0.71262
95.5,0.70931
96,0.71089
96.5,0.71538
97,0.71648
97.5,0.71741
98,0.71333
98.5,0.71581
99,0.71427
99.5,0.71282
100,0.71869
100.5,0.717
101,0.71527
101.5,0.71007
102,0.71082
102.5,0.71621
103,0.71348
103.5,0.71528
104,0.71356
104.5,0.71449
105,0.7166
105.5,0.71821
106,0.71519
106.5,0.71501
107,0.71818
107.5,0.71672
108,0.71636
108.5,0.71621
109,0.71827
109.5,0.71921
110,0.72307
110.5,0.72049
111,0.71932
111.5,0.72245
112,0.72062
112.5,0.72447
113,0.72208
113.5,0.72575
114,0.72084
114.5,0.71434
115,0.72462
115.5,0.71801
116,0.71862
116.5,0.71987
117,0.71559
117.5,0.7213
118,0.71698
118.5,0.72657
119,0.71608
119.5,0.71797
120,0.72157
120.5,0.72549
121,0.71941
121.5,0.71563
122,0.72034
122.5,0.72414
123,0.72024
123.5,0.71859
124,0.72213
124.5,0.72911
125,0.72458
125.5,0.73058
126,0.72878
126.5,0.73028
127,0.72616
127.5,0.724
128,0.7273
128.5,0.72646
129,0.72246
129.5,0.72722
130,0.72592
130.5,0.72697
131,0.72558
131.5,0.7324
132,0.7293
132.5,0.72962
133,0.72382
133.5,0.72549
134,0.72395
134.5,0.7213
135,0.7214
135.5,0.72906
136,0.72931
136.5,0.72453
137,0.72494
137.5,0.72751
138,0.72274
138.5,0.72787
139,0.7285
139.5,0.72482
140,0.72411
140.5,0.72385
141,0.72923
141.5,0.72769
142,0.73258
142.5,0.73798
143,0.73385
143.5,0.73448
144,0.73199
144.5,0.72856
145,0.73808
145.5,0.72961
146,0.73169
146.5,0.73334
147,0.73744
147.5,0.73742
148,0.7391
148.5,0.73494
149,0.73042
149.5,0.7343
150,0.73759
150.5,0.73255
151,0.73575
151.5,0.73836
152,0.73637
152.5,0.73165
153,0.73232
153.5,0.73861
154,0.73747
154.5,0.73923
155,0.73959
155.5,0.74205
156,0.74188
156.5,0.73266
157,0.73722
157.5,0.7375
158,0.74022
158.5,0.73753
159,0.73979
159.5,0.74305
160,0.73875
160.5,0.74072
161,0.73792
161.5,0.73821
162,0.7364
162.5,0.74089
163,0.7417
163.5,0.74182
164,0.73855
164.5,0.74372
165,0.74025
165.5,0.74077
166,0.74519
166.5,0.74548
167,0.74419
167.5,0.73834
168,0.73902
168.5,0.73942
169,0.73389
169.5,0.73914
170,0.73991
170.5,0.74171
171,0.73943
171.5,0.73717
172,0.74702
172.5,0.74535
173,0.74046
173.5,0.74107
174,0.74257
174.5,0.74467
175,0.74181
175.5,0.74206
176,0.74106
176.5,0.74891
177,0.74152
177.5,0.74263
178,0.7468
178.5,0.74511
179,0.73589
179.5,0.73922
180,0.74369
180.5,0.73855
181,0.74258
181.5,0.73961
182,0.74325
182.5,0.742
183,0.74637
183.5,0.74081
184,0.74655
