"time","current"
0,0.74143
0.5,0.74196
1,0.74281
1.5,0.74284
2,0.74358
2.5,0.74893
3,0.74485
3.5,0.74618
4,0.74759
4.5,0.74759
5,0.75212
5.5,0.75192
6,0.75143
6.5,0.7579
7,0.75345
7.5,0.75588
8,0.75463
8.5,0.75735
9,0.75533
9.5,0.75479
10,0.75899
10.5,0.75575
11,0.76241
11.5,0.75741
12,0.76148
12.5,0.75794
13,0.75981
13.5,0.76007
14,0.75873
14.5,0.75711
15,0.76287
15.5,0.76106
16,0.76136
16.5,0.76551
17,0.76079
17.5,0.76507
18,0.76427
18.5,0.76632
19,0.7681
19.5,0.77173
20,0.76724
20.5,0.77057
21,0.76923
21.5,0.77722
22,0.7709
22.5,0.77276
23,0.77267
23.5,0.77583
24,0.77441
24.5,0.77427
25,0.76875
25.5,0.77462
26,0.77443
26.5,0.77695
27,0.76942
27.5,0.77285
28,0.77158
28.5,0.76864
29,0.77542
29.5,0.77338
30,0.77245
30.5,0.77586
31,0.76933
31.5,0.77101
32,0.77642
32.5,0.77293
33,0.77714
33.5,0.77477
34,0.77817
34.5,0.78047
35,0.77403
35.5,0.7818
36,0.77648
36.5,0.7831
37,0.77671
37.5,0.7803
38,0.77742
38.5,0.7778
39,0.77983
39.5,0.78348
40,0.77915
40.5,0.77907
41,0.77679
41.5,0.77619
42,0.78226
42.5,0.7802
43,0.78048
43.5,0.78188
44,0.78162
44.5,0.78032
45,0.78199
45.5,0.77991
46,0.78198
46.5,0.78603
47,0.77827
47.5,0.78563
48,0.77967
48.5,0.787
49,0.78561
49.5,0.7847
50,0.78798
50.5,0.78659
51,0.78972
51.5,0.78422
52,0.79122
52.5,0.78527
53,0.79272
53.5,0.78878
54,0.78853
54.5,0.7899
55,0.78698
55.5,0.79049
56,0.78695
56.5,0.79005
57,0.79154
57.5,0.79095
58,0.78373
58.5,0.78622
59,0.78527
59.5,0.78258
60,0.7886
60.5,0.7807
61,0.78136
61.5,0.78747
62,0.78397
62.5,0.78573
63,0.78253
63.5,0.78289
64,0.78607
64.5,0.78574
65,0.79289
65.5,0.78799
66,0.78721
66.5,0.78957
67,0.79085
67.5,0.79308
68,0.78872
68.5,0.7931
69,0.79443
69.5,0.7934
70,0.79094
70.5,0.79213
71,0.79451
71.5,0.79646
72,0.79085
72.5,0.80202
73,0.79457
73.5,0.79102
74,0.79739
74.5,0.8028
75,0.79245
75.5,0.7971
76,0.79376
76.5,0.79779
77,0.79592
77.5,0.79217
78,0.79395
78.5,0.79768
79,0.78959
79.5,0.79511
80,0.79571
80.5,0.79802
81,0.79234
81.5,0.7998
82,0.7946
82.5,0.79768
83,0.79447
83.5,0.79114
84,0.79705
84.5,0.78793
85,0.79569
85.5,0.78983
86,0.78972
86.5,0.79582
87,0.79639
87.5,0.79665
88,0.79482
88.5,0.79608
89,0.79698
89.5,0.80022
90,0.80203
90.5,0.79387
91,0.80042
91.5,0.79733
92,0.79522
92.5,0.79737
93,0.79326
93.5,0.79108
94,0.79974
94.5,0.79481
95,0.79977
95.5,0.80654
96,0.79687
96.5,0.79668
97,0.7959
97.5,0.80066
98,0.80463
98.5,0.79973
99,0.80893
99.5,0.79088
100,0.79864
100.5,0.8011
101,0.79757
101.5,0.80459
102,0.80374
102.5,0.79924
103,0.79437
103.5,0.80455
104,0.80036
104.5,0.79598
105,0.80074
105.5,0.80417
106,0.79538
106.5,0.79837
107,0.7996
107.5,0.80095
108,0.8002
108.5,0.79845
109,0.79628
109.5,0.79715
110,0.80023
110.5,0.80265
111,0.7962
111.5,0.80396
112,0.79647
112.5,0.79994
113,0.79462
113.5,0.80009
114,0.80143
114.5,0.80024
115,0.80129
115.5,0.8008
116,0.7983
116.5,0.80299
117,0.80249
117.5,0.80334
118,0.80389
118.5,0.80522
119,0.8008
119.5,0.80313
120,0.79911
120.5,0.80316
121,0.80471
121.5,0.80717
122,0.80215
122.5,0.80057
123,0.80327
123.5,0.80254
124,0.80652
124.5,0.81001
125,0.80452
125.5,0.80985
126,0.8027
126.5,0.80916
127,0.80169
127.5,0.80672
128,0.80711
128.5,0.80751
129,0.81321
129.5,0.80397
130,0.81415
130.5,0.80845
131,0.80455
131.5,0.81306
132,0.81275
132.5,0.81211
133,0.80585
133.5,0.81223
134,0.80153
134.5,0.8089
135,0.80475
135.5,0.80827
136,0.80676
136.5,0.80705
137,0.81229
137.5,0.81914
138,0.8124
138.5,0.81383
139,0.81754
139.5,0.81794
140,0.81051
140.5,0.80477
141,0.80336
141.5,0.81304
142,0.80845
142.5,0.80963
143,0.81206
143.5,0.80744
144,0.81333
144.5,0.81348
145,0.8124
145.5,0.81123
146,0.8094
146.5,0.80557
147,0.80377
147.5,0.80619
148,0.80968
148.5,0.80674
149,0.80762
149.5,0.80963
150,0.80706
150.5,0.81158
151,0.80593
151.5,0.81093
152,0.80912
152.5,0.80992
153,0.81334
153.5,0.81578
154,0.81923
154.5,0.81236
155,0.81218
155.5,0.81531
156,0.81873
156.5,0.81456
157,0.81705
157.5,0.82113
158,0.81813
158.5,0.81794
159,0.82479
159.5,0.8219
160,0.81082
160.5,0.82189
161,0.82644
161.5,0.81998
162,0.81713
162.5,0.81578
163,0.81486
163.5,0.81503
164,0.82381
164.5,0.82383
165,0.82317
165.5,0.82245
166,0.81574
166.5,0.82844
167,0.81728
167.5,0.81264
168,0.8181
168.5,0.81445
169,0.81696
169.5,0.81525
170,0.81542
170.5,0.82266
171,0.82175
171.5,0.82109
172,0.82467
172.5,0.82918
173,0.81204
173.5,0.82742
174,0.81601
174.5,0.82601
175,0.82025
175.5,0.82439
176,0.82852
176.5,0.82941
177,0.82233
177.5,0.82065
178,0.82365
178.5,0.81744
179,0.82426
179.5,0.81748
180,0.82306
180.5,0.82606
181,0.82334
181.5,0.81618
182,0.82438
182.5,0.81676
183,0.81876
183.5,0.81785
184,0.82333
184.5,0.82136
185,0.81935
185.5,0.82738
186,0.82687
186.5,0.8275
187,0.82126
187.5,0.82857
188,0.82238
188.5,0.8162
189,0.82026
398,0.73444
398.5,0.74229
399,0.74115
399.5,0.74653
400,0.74223
400.5,0.74759
401,0.74806
401.5,0.74987
402,0.75112
402.5,0.74933
403,0.74761
403.5,0.75244
404,0.75051
404.5,0.75238
405,0.75416
405.5,0.7545
406,0.75678
406.5,0.75685
407,0.75661
407.5,0.75722
408,0.75648
408.5,0.75958
409,0.76098
409.5,0.75839
410,0.75784
410.5,0.75915
411,0.7603
411.5,0.75955
412,0.76332
412.5,0.76339
413,0.7587
413.5,0.76347
414,0.7601
414.5,0.76338
415,0.76452
415.5,0.76263
416,0.76485
416.5,0.76616
417,0.76636
417.5,0.76729
418,0.76554
418.5,0.76467
419,0.76001
419.5,0.76233
420,0.75942
420.5,0.75973
421,0.76268
421.5,0.75988
422,0.76594
422.5,0.76537
423,0.76486
423.5,0.76519
424,0.7694
424.5,0.76754
425,0.76704
425.5,0.76764
426,0.77374
426.5,0.77444
427,0.76945
427.5,0.76543
428,0.76986
428.5,0.7691
429,0.77222
429.5,0.76942
430,0.76841
430.5,0.77512
431,0.77158
431.5,0.7695
432,0.77625
432.5,0.77333
433,0.77301
433.5,0.77086
434,0.77099
434.5,0.77185
435,0.77064
435.5,0.77489
436,0.77628
436.5,0.7794
437,0.76885
437.5,0.78107
438,0.77721
438.5,0.77824
439,0.77353
439.5,0.77681
440,0.77387
440.5,0.77868
441,0.77686
441.5,0.77999
442,0.77923
442.5,0.78044
443,0.77942
443.5,0.77903
444,0.77673
444.5,0.77738
445,0.78012
445.5,0.77839
446,0.78623
446.5,0.78138
447,0.78203
447.5,0.78055
448,0.78161
448.5,0.78309
449,0.77926
449.5,0.78439
450,0.78811
450.5,0.78754
451,0.78166
451.5,0.79063
452,0.78488
452.5,0.78642
453,0.7855
453.5,0.7841
454,0.78586
454.5,0.78705
455,0.78488
455.5,0.7964
456,0.78385
456.5,0.79225
457,0.78945
457.5,0.7869
458,0.78763
458.5,0.78542
459,0.7807
459.5,0.78706
460,0.78615
460.5,0.78534
461,0.78786
461.5,0.78867
462,0.78802
462.5,0.78976
463,0.78485
463.5,0.78418
464,0.78977
464.5,0.78716
465,0.78906
465.5,0.78855
466,0.78318
466.5,0.78419
467,0.78834
467.5,0.78311
468,0.78598
468.5,0.78177
469,0.78385
469.5,0.78493
470,0.78116
470.5,0.78851
471,0.78722
471.5,0.78634
472,0.78769
472.5,0.79378
473,0.7877
473.5,0.79007
474,0.78813
474.5,0.78857
475,0.7923
475.5,0.78645
476,0.79223
476.5,0.79066
477,0.78784
477.5,0.78677
478,0.78855
478.5,0.78803
479,0.7876
479.5,0.78958
480,0.79444
480.5,0.78027
481,0.78525
481.5,0.78517
482,0.79085
482.5,0.79453
483,0.7824
483.5,0.79246
484,0.78958
484.5,0.78952
485,0.7935
485.5,0.78722
486,0.79887
486.5,0.78919
487,0.79194
487.5,0.79657
488,0.78959
488.5,0.79341
489,0.78841
489.5,0.78656
490,0.79676
490.5,0.7917
491,0.79166
491.5,0.79671
492,0.79711
492.5,0.79162
493,0.79291
493.5,0.79235
494,0.7929
494.5,0.79309
495,0.79664
495.5,0.79708
496,0.79678
496.5,0.79745
497,0.79537
497.5,0.79743
498,0.80272
498.5,0.79772
499,0.8032
499.5,0.7983
500,0.79609
500.5,0.79978
501,0.80076
501.5,0.7982
502,0.79444
502.5,0.79771
503,0.80035
503.5,0.79323
504,0.79421
504.5,0.79935
505,0.80176
505.5,0.81281
506,0.80064
506.5,0.80859
507,0.80639
507.5,0.80092
508,0.80877
508.5,0.80017
509,0.8018
509.5,0.79759
510,0.79939
510.5,0.80092
511,0.79498
511.5,0.79796
512,0.80217
512.5,0.79946
513,0.7958
513.5,0.79851
514,0.79757
514.5,0.80165
515,0.80305
515.5,0.79688
516,0.79998
516.5,0.80477
517,0.80911
517.5,0.80238
518,0.79713
518.5,0.79984
519,0.79783
519.5,0.79897
520,0.80271
520.5,0.79883
521,0.80047
521.5,0.79763
522,0.7931
522.5,0.80762
523,0.80192
523.5,0.79895
524,0.80346
524.5,0.80493
525,0.80235
525.5,0.80687
526,0.80607
526.5,0.81191
527,0.80687
527.5,0.81125
528,0.81057
528.5,0.81131
529,0.80989
529.5,0.80679
530,0.81439
530.5,0.81004
531,0.80754
531.5,0.8145
532,0.81703
532.5,0.80967
533,0.8078
533.5,0.81423
534,0.81031
534.5,0.81166
535,0.80698
535.5,0.80921
536,0.81022
536.5,0.81394
537,0.80769
537.5,0.81693
538,0.81468
538.5,0.80733
539,0.80795
539.5,0.80997
540,0.8088
540.5,0.81182
541,0.81409
541.5,0.81354
542,0.81182
542.5,0.81456
543,0.81007
543.5,0.8071
544,0.82012
544.5,0.81219
545,0.81379
545.5,0.804
546,0.81345
546.5,0.81351
547,0.81586
547.5,0.81373
548,0.80976
548.5,0.80726
549,0.8047
549.5,0.80269
550,0.80622
550.5,0.80798
551,0.81061
551.5,0.80525
552,0.8072
552.5,0.80978
553,0.80877
553.5,0.81264
554,0.81398
554.5,0.80792
555,0.81225
555.5,0.81446
556,0.80957
556.5,0.81143
557,0.81111
557.5,0.81063
558,0.80538
558.5,0.804
559,0.80909
559.5,0.80329
560,0.8069
560.5,0.80899
561,0.80522
561.5,0.81335
562,0.80552
562.5,0.81455
563,0.81781
563.5,0.81492
564,0.80133
564.5,0.80709
565,0.81176
565.5,0.81617
566,0.81176
566.5,0.81106
567,0.81381
567.5,0.81141
568,0.80747
568.5,0.81221
569,0.81717
569.5,0.81611
570,0.81732
570.5,0.82368
571,0.8149
571.5,0.81634
572,0.81666
572.5,0.81957
573,0.82112
573.5,0.82208
574,0.82236
574.5,0.8146
575,0.82149
575.5,0.82313
576,0.82032
576.5,0.81251
577,0.81017
577.5,0.81666
578,0.81866
578.5,0.81986
579,0.81548
579.5,0.82367
580,0.81996
580.5,0.82163
581,0.8156
581.5,0.81763
582,0.8191
582.5,0.82159
583,0.82009
583.5,0.81187
584,0.81281
584.5,0.81766
585,0.81752
585.5,0.81475
586,0.82011
586.5,0.80722
587,0.81032
796,0.72857
796.5,0.73537
797,0.72903
797.5,0.73113
798,0.73304
798.5,0.73818
799,0.73687
799.5,0.73627
800,0.74311
800.5,0.74302
801,0.74179
801.5,0.74407
802,0.73837
802.5,0.74618
803,0.74101
803.5,0.74902
804,0.74666
804.5,0.74966
805,0.74613
805.5,0.7487
806,0.75214
806.5,0.74434
807,0.75016
807.5,0.75116
808,0.75151
808.5,0.75489
809,0.754
809.5,0.75405
810,0.7506
810.5,0.75394
811,0.75198
811.5,0.75014
812,0.75154
812.5,0.75016
813,0.75447
813.5,0.74743
814,0.74897
814.5,0.75138
815,0.75114
815.5,0.75352
816,0.75191
816.5,0.75213
817,0.75021
817.5,0.75214
818,0.75164
818.5,0.75422
819,0.75079
819.5,0.75485
820,0.7493
820.5,0.75247
821,0.75076
821.5,0.75339
822,0.75515
822.5,0.75203
823,0.75532
823.5,0.75663
824,0.7582
824.5,0.75901
825,0.75661
825.5,0.7648
826,0.75803
826.5,0.76067
827,0.76017
827.5,0.76319
828,0.76028
828.5,0.76401
829,0.76356
829.5,0.76012
830,0.76367
830.5,0.76846
831,0.76348
831.5,0.76476
832,0.75957
832.5,0.76509
833,0.76328
833.5,0.76328
834,0.75747
834.5,0.76629
835,0.76107
835.5,0.76401
836,0.76446
836.5,0.76514
837,0.76389
837.5,0.76487
838,0.76913
838.5,0.76676
839,0.76617
839.5,0.76721
840,0.76417
840.5,0.76193
841,0.76836
841.5,0.76584
842,0.76918
842.5,0.76437
843,0.76671
843.5,0.76342
844,0.76436
844.5,0.7607
845,0.76632
845.5,0.76594
846,0.76532
846.5,0.76739
847,0.76222
847.5,0.76436
848,0.76642
848.5,0.76348
849,0.76993
849.5,0.77402
850,0.76688
850.5,0.76643
851,0.76716
851.5,0.76933
852,0.77123
852.5,0.76315
853,0.7692
853.5,0.7781
854,0.77117
854.5,0.77237
855,0.7778
855.5,0.77078
856,0.77274
856.5,0.76641
857,0.77031
857.5,0.77212
858,0.76588
858.5,0.77099
859,0.77121
859.5,0.76553
860,0.76933
860.5,0.77138
861,0.77531
861.5,0.76419
862,0.76994
862.5,0.76716
863,0.76506
863.5,0.76676
864,0.76892
864.5,0.76355
865,0.76822
865.5,0.77082
866,0.76549
866.5,0.76291
867,0.77342
867.5,0.77192
868,0.76852
868.5,0.76962
869,0.77274
869.5,0.77469
870,0.77544
870.5,0.77493
871,0.77612
871.5,0.77571
872,0.77421
872.5,0.77791
873,0.77471
873.5,0.77921
874,0.77072
874.5,0.77573
875,0.78208
875.5,0.77783
876,0.78019
876.5,0.77618
877,0.78008
877.5,0.78305
878,0.77413
878.5,0.77111
879,0.77775
879.5,0.77677
880,0.77794
880.5,0.77439
881,0.7785
881.5,0.77799
882,0.77603
882.5,0.77194
883,0.77308
883.5,0.76868
884,0.76956
884.5,0.7726
885,0.7745
885.5,0.77185
886,0.77631
886.5,0.77502
887,0.77475
887.5,0.76823
888,0.77836
888.5,0.77721
889,0.78433
889.5,0.78098
890,0.78106
890.5,0.7747
891,0.77589
891.5,0.77949
892,0.77229
892.5,0.77444
893,0.77958
893.5,0.77655
894,0.78167
894.5,0.77892
895,0.78134
895.5,0.78151
896,0.7805
896.5,0.77718
897,0.777
897.5,0.77904
898,0.78404
898.5,0.77667
899,0.78608
899.5,0.78276
900,0.77823
900.5,0.77743
901,0.77805
901.5,0.78116
902,0.77632
902.5,0.78373
903,0.78438
903.5,0.78249
904,0.78528
904.5,0.78987
905,0.78749
905.5,0.77765
906,0.78495
906.5,0.78557
907,0.7866
907.5,0.77953
908,0.78595
908.5,0.78087
909,0.77944
909.5,0.77968
910,0.78459
910.5,0.78373
911,0.78194
911.5,0.78262
912,0.78752
912.5,0.78675
913,0.78451
913.5,0.79095
914,0.78534
914.5,0.78434
915,0.78583
915.5,0.78329
916,0.78833
916.5,0.78636
917,0.78433
917.5,0.78658
918,0.79602
918.5,0.78057
919,0.79285
919.5,0.7888
920,0.78723
920.5,0.79232
921,0.79561
921.5,0.78925
922,0.78967
922.5,0.78332
923,0.79115
923.5,0.78521
924,0.78651
924.5,0.79098
925,0.79038
925.5,0.79393
926,0.79241
926.5,0.79276
927,0.79976
927.5,0.78419
928,0.79752
928.5,0.7969
929,0.79144
929.5,0.79008
930,0.79112
930.5,0.79166
931,0.79165
931.5,0.78793
932,0.79118
932.5,0.79861
933,0.78586
933.5,0.7934
934,0.79263
934.5,0.79888
935,0.79179
935.5,0.79328
936,0.79028
936.5,0.78839
937,0.79694
937.5,0.79169
938,0.78693
938.5,0.79692
939,0.79276
939.5,0.79112
940,0.78872
940.5,0.78971
941,0.78934
941.5,0.78974
942,0.79171
942.5,0.79405
943,0.79669
943.5,0.7943
944,0.79444
944.5,0.79635
945,0.78859
945.5,0.79258
946,0.79096
946.5,0.7878
947,0.79817
947.5,0.79829
948,0.79055
948.5,0.79005
949,0.78972
949.5,0.79086
950,0.79859
950.5,0.80124
951,0.79177
951.5,0.79389
952,0.79683
952.5,0.80073
953,0.79422
953.5,0.8003
954,0.80003
954.5,0.79299
955,0.80539
955.5,0.79463
956,0.8036
956.5,0.80024
957,0.80524
957.5,0.8031
958,0.80346
958.5,0.80266
959,0.80168
959.5,0.79988
960,0.80298
960.5,0.79384
961,0.7998
961.5,0.79929
962,0.80736
962.5,0.79322
963,0.80161
963.5,0.80157
964,0.7993
964.5,0.79777
965,0.79901
965.5,0.79623
966,0.79142
966.5,0.8046
967,0.8019
967.5,0.80412
968,0.79118
968.5,0.80302
969,0.79043
969.5,0.79596
970,0.79896
970.5,0.80371
971,0.80067
971.5,0.79885
972,0.80287
972.5,0.79896
973,0.79869
973.5,0.80267
974,0.79449
974.5,0.79855
975,0.78887
975.5,0.79445
976,0.80599
976.5,0.7948
977,0.80395
977.5,0.79613
978,0.80574
978.5,0.80179
979,0.80422
979.5,0.79805
980,0.8141
980.5,0.80425
981,0.80369
981.5,0.81514
982,0.80945
982.5,0.81576
983,0.80374
983.5,0.81409
984,0.80558
984.5,0.80434
985,0.80938
1194,0.73373
1194.5,0.72615
1195,0.72775
1195.5,0.72945
1196,0.7268
1196.5,0.7309
1197,0.73298
1197.5,0.7321
1198,0.73781
1198.5,0.73506
1199,0.73433
1199.5,0.73268
1200,0.73482
1200.5,0.74045
1201,0.73751
1201.5,0.73931
1202,0.74049
1202.5,0.73953
1203,0.74003
1203.5,0.73917
1204,0.7403
1204.5,0.73927
1205,0.74499
1205.5,0.73868
1206,0.7398
1206.5,0.74341
1207,0.7419
1207.5,0.74382
1208,0.73493
1208.5,0.74225
1209,0.74107
1209.5,0.74316
1210,0.74418
1210.5,0.73885
1211,0.74284
1211.5,0.74171
1212,0.73843
1212.5,0.74292
1213,0.7424
1213.5,0.74528
1214,0.75295
1214.5,0.74997
1215,0.74669
1215.5,0.74715
1216,0.75131
1216.5,0.7503
1217,0.74821
1217.5,0.75309
1218,0.75072
1218.5,0.75451
1219,0.75306
1219.5,0.75397
1220,0.75138
1220.5,0.75703
1221,0.75433
1221.5,0.75277
1222,0.75483
1222.5,0.75367
1223,0.75517
1223.5,0.7557
1224,0.75104
1224.5,0.75803
1225,0.75579
1225.5,0.75761
1226,0.75961
1226.5,0.76177
1227,0.75581
1227.5,0.76144
1228,0.75593
1228.5,0.76259
1229,0.75832
1229.5,0.7604
1230,0.75697
1230.5,0.7552
1231,0.75729
1231.5,0.75704
1232,0.76043
1232.5,0.7595
1233,0.75418
1233.5,0.75769
1234,0.7567
1234.5,0.7616
1235,0.75283
1235.5,0.75601
1236,0.7594
1236.5,0.75847
1237,0.7592
1237.5,0.75996
1238,0.75787
1238.5,0.75789
1239,0.75853
1239.5,0.75749
1240,0.75998
1240.5,0.75922
1241,0.7633
1241.5,0.76159
1242,0.76146
1242.5,0.76058
1243,0.76647
1243.5,0.75609
1244,0.7568
1244.5,0.76017
1245,0.75995
1245.5,0.76191
1246,0.76663
1246.5,0.77029
1247,0.7634
1247.5,0.76955
1248,0.76524
1248.5,0.76706
1249,0.7624
1249.5,0.7649
1250,0.76558
1250.5,0.76524
1251,0.7693
1251.5,0.76902
1252,0.76542
1252.5,0.77112
1253,0.7705
1253.5,0.76879
1254,0.76982
1254.5,0.76513
1255,0.77101
1255.5,0.76995
1256,0.76685
1256.5,0.76904
1257,0.77023
1257.5,0.77218
1258,0.76986
1258.5,0.77077
1259,0.77295
1259.5,0.7772
1260,0.77192
1260.5,0.77159
1261,0.77168
1261.5,0.77189
1262,0.77569
1262.5,0.76651
1263,0.77667
1263.5,0.77363
1264,0.77619
1264.5,0.77526
1265,0.77824
1265.5,0.77461
1266,0.76878
1266.5,0.77488
1267,0.77747
1267.5,0.78157
1268,0.77532
1268.5,0.77255
1269,0.77631
1269.5,0.77685
1270,0.7735
1270.5,0.7817
1271,0.77102
1271.5,0.77931
1272,0.77122
1272.5,0.77648
1273,0.77079
1273.5,0.77592
1274,0.77844
1274.5,0.78005
1275,0.77872
1275.5,0.77518
1276,0.78414
1276.5,0.773
1277,0.77659
1277.5,0.77844
1278,0.77922
1278.5,0.77547
1279,0.78306
1279.5,0.77845
1280,0.77569
1280.5,0.78093
1281,0.78029
1281.5,0.7808
1282,0.77995
1282.5,0.77637
1283,0.77944
1283.5,0.77307
1284,0.77634
1284.5,0.77737
1285,0.7841
1285.5,0.77661
1286,0.79028
1286.5,0.7807
1287,0.78025
1287.5,0.78055
1288,0.77947
1288.5,0.77272
1289,0.78218
1289.5,0.78181
1290,0.77885
1290.5,0.77615
1291,0.77707
1291.5,0.77774
1292,0.78596
1292.5,0.78366
1293,0.78803
1293.5,0.77756
1294,0.78805
1294.5,0.77848
1295,0.77886
1295.5,0.78447
1296,0.78148
1296.5,0.78435
1297,0.78755
1297.5,0.78753
1298,0.79344
1298.5,0.78675
1299,0.78551
1299.5,0.78371
1300,0.78823
1300.5,0.78237
1301,0.79058
1301.5,0.78923
1302,0.78916
1302.5,0.78429
1303,0.78724
1303.5,0.79084
1304,0.78017
1304.5,0.78691
1305,0.79114
1305.5,0.78595
1306,0.79163
1306.5,0.78863
1307,0.7849
1307.5,0.79224
1308,0.78076
1308.5,0.78816
1309,0.78404
1309.5,0.78078
1310,0.78821
1310.5,0.7839
1311,0.78281
1311.5,0.78181
1312,0.78364
1312.5,0.78055
1313,0.78782
1313.5,0.78219
1314,0.77861
1314.5,0.78697
1315,0.78149
1315.5,0.78977
1316,0.7952
1316.5,0.79048
1317,0.7895
1317.5,0.78792
1318,0.78988
1318.5,0.78608
1319,0.79159
1319.5,0.79046
1320,0.78892
1320.5,0.78414
1321,0.78515
1321.5,0.78258
1322,0.78799
1322.5,0.79151
1323,0.78885
1323.5,0.79506
1324,0.79078
1324.5,0.79431
1325,0.79068
1325.5,0.79231
1326,0.79431
1326.5,0.78714
1327,0.79778
1327.5,0.78903
1328,0.79167
1328.5,0.79181
1329,0.78589
1329.5,0.78915
1330,0.78666
1330.5,0.78747
1331,0.787
1331.5,0.79278
1332,0.7881
1332.5,0.7879
1333,0.7908
1333.5,0.78547
1334,0.79414
1334.5,0.79117
1335,0.78958
1335.5,0.79093
1336,0.79558
1336.5,0.78699
1337,0.78299
1337.5,0.78497
1338,0.79535
1338.5,0.79296
1339,0.78934
1339.5,0.78117
1340,0.78768
1340.5,0.78389
1341,0.79153
1341.5,0.79261
1342,0.79348
1342.5,0.79462
1343,0.78544
1343.5,0.7833
1344,0.78502
1344.5,0.785
1345,0.78409
1345.5,0.79102
1346,0.78672
1346.5,0.79089
1347,0.79397
1347.5,0.79167
1348,0.79219
1348.5,0.78481
1349,0.79228
1349.5,0.79147
1350,0.78923
1350.5,0.80011
1351,0.79861
1351.5,0.80135
1352,0.80094
1352.5,0.7982
1353,0.798
1353.5,0.7942
1354,0.79588
1354.5,0.78834
1355,0.79477
1355.5,0.80286
1356,0.79781
1356.5,0.80505
1357,0.79372
1357.5,0.7935
1358,0.79384
1358.5,0.79815
1359,0.79887
1359.5,0.79324
1360,0.78611
1360.5,0.79903
1361,0.79162
1361.5,0.79775
1362,0.79656
1362.5,0.80299
1363,0.79891
1363.5,0.79922
1364,0.79692
1364.5,0.79462
1365,0.79695
1365.5,0.79349
1366,0.79189
1366.5,0.7971
1367,0.7986
1367.5,0.79552
1368,0.80353
1368.5,0.80227
1369,0.79176
1369.5,0.79526
1370,0.8002
1370.5,0.7989
1371,0.80372
1371.5,0.7954
1372,0.78889
1372.5,0.79686
1373,0.79822
1373.5,0.79587
1374,0.79675
1374.5,0.79172
1375,0.80061
1375.5,0.80485
1376,0.80048
1376.5,0.80035
1377,0.79526
1377.5,0.8012
1378,0.79924
1378.5,0.79706
1379,0.80321
1379.5,0.80107
1380,0.80793
1380.5,0.79813
1381,0.7955
1381.5,0.80227
1382,0.80002
1382.5,0.80156
1383,0.79793
1592,0.73065
1592.5,0.73288
1593,0.72822
1593.5,0.73177
1594,0.73197
1594.5,0.73282
1595,0.73614
1595.5,0.73571
1596,0.7414
1596.5,0.74121
1597,0.73914
1597.5,0.73559
1598,0.74259
1598.5,0.73963
1599,0.7376
1599.5,0.74194
1600,0.74194
1600.5,0.74028
1601,0.74235
1601.5,0.74069
1602,0.74355
1602.5,0.73893
1603,0.73876
1603.5,0.74132
1604,0.74566
1604.5,0.74803
1605,0.73899
1605.5,0.74336
1606,0.74336
1606.5,0.74378
1607,0.74457
1607.5,0.74245
1608,0.74616
1608.5,0.7474
1609,0.74722
1609.5,0.74297
1610,0.75121
1610.5,0.74665
1611,0.74804
1611.5,0.74371
1612,0.7464
1612.5,0.75262
1613,0.7486
1613.5,0.74848
1614,0.75058
1614.5,0.75003
1615,0.75094
1615.5,0.75284
1616,0.75242
1616.5,0.75346
1617,0.75359
1617.5,0.7557
1618,0.7563
1618.5,0.75509
1619,0.75423
1619.5,0.75484
1620,0.75231
1620.5,0.75778
1621,0.75688
1621.5,0.75492
1622,0.75371
1622.5,0.75642
1623,0.75339
1623.5,0.7535
1624,0.75276
1624.5,0.75399
1625,0.75463
1625.5,0.75726
1626,0.75724
1626.5,0.75591
1627,0.75616
1627.5,0.75681
1628,0.75609
1628.5,0.7577
1629,0.75634
1629.5,0.75553
1630,0.75852
1630.5,0.7561
1631,0.75611
1631.5,0.75885
1632,0.75751
1632.5,0.76068
1633,0.7582
1633.5,0.75723
1634,0.76109
1634.5,0.76063
1635,0.76117
1635.5,0.75952
1636,0.76181
1636.5,0.76291
1637,0.76301
1637.5,0.76237
1638,0.75692
1638.5,0.7579
1639,0.76001
1639.5,0.76134
1640,0.76074
1640.5,0.76222
1641,0.75718
1641.5,0.76099
1642,0.7659
1642.5,0.75752
1643,0.75635
1643.5,0.75916
1644,0.76401
1644.5,0.76463
1645,0.76487
1645.5,0.76856
1646,0.76349
1646.5,0.7721
1647,0.76255
1647.5,0.76638
1648,0.76787
1648.5,0.76331
1649,0.76543
1649.5,0.7684
1650,0.76065
1650.5,0.75976
1651,0.76738
1651.5,0.76444
1652,0.76489
1652.5,0.76286
1653,0.76156
1653.5,0.76688
1654,0.76239
1654.5,0.76484
1655,0.76313
1655.5,0.76375
